0843,表外音訓です。,十,ソ,そ,,,,,形容詞,自立,*,*,形容詞・アウオ段,,十露盤高い,,
0843,表外音訓です。,十,ソ,そ,六十路,1285,1285,5102,名詞,一般,*,*,*,*,六十路,ムソジ,ムソジ
0843,表外音訓です。,十,ソ,そ,七十路,1285,1285,5189,名詞,一般,*,*,*,*,七十路,ナナソジ,ナナソジ
0843,表外音訓です。,十,ソ,そ,十露盤ずく,1285,1285,5189,名詞,一般,*,*,*,*,十露盤ずく,ソロバンズク,ソロバンズク
0843,表外音訓です。,十,ソ,そ,八十路,1285,1285,5158,名詞,一般,*,*,*,*,八十路,ヤソジ,ヤソジ
0843,表外音訓です。,十,ソ,そ,四十路,1285,1285,5189,名詞,一般,*,*,*,*,四十路,ヨソジ,ヨソジ
0843,表外音訓です。,十,ソ,そ,五十路,1285,1285,5190,名詞,一般,*,*,*,*,五十路,イソジ,イソジ
0843,表外音訓です。,十,ソ,そ,三十二相,1285,1285,5189,名詞,一般,*,*,*,*,三十二相,サンジュウニソウ,サンジューニソー
0843,表外音訓です。,十,ソ,そ,三十日,1285,1285,6114,名詞,一般,*,*,*,*,三十日,ミソカ,ミソカ
0843,表外音訓です。,十,ソ,そ,三十一文字,1285,1285,4834,名詞,一般,*,*,*,*,三十一文字,ミソヒトモジ,ミソヒトモジ
0843,表外音訓です。,十,ソ,そ,十露盤,1285,1285,5187,名詞,一般,*,*,*,*,十露盤,ソロバン,ソロバン
0843,表外音訓です。,十,ソ,そ,三十路,1285,1285,5110,名詞,一般,*,*,*,*,三十路,ミソジ,ミソジ
